STATE/UT,DISTRICT,YEAR,RAPE
JAMMU & KASHMIR,DODA,2006,10
JAMMU & KASHMIR,DODA,2007,28
JAMMU & KASHMIR,DODA,2008,20
JAMMU & KASHMIR,DODA,2009,18
JAMMU & KASHMIR,DODA,2010,21
JAMMU & KASHMIR,DODA,2011,16
JAMMU & KASHMIR,DODA,2012,16
JHARKHAND,DUMKA,2001,27
JHARKHAND,DUMKA,2002,50
JHARKHAND,DUMKA,2003,49
JHARKHAND,DUMKA,2004,50
JHARKHAND,DUMKA,2005,38
JHARKHAND,DUMKA,2006,55
JHARKHAND,DUMKA,2007,52
JHARKHAND,DUMKA,2008,60
JHARKHAND,DUMKA,2009,61
JHARKHAND,DUMKA,2010,52
JHARKHAND,DUMKA,2011,34
JHARKHAND,DUMKA,2012,29
RAJASTHAN,DUNGARPUR,2001,17
RAJASTHAN,DUNGARPUR,2002,21
RAJASTHAN,DUNGARPUR,2003,15
RAJASTHAN,DUNGARPUR,2004,17
RAJASTHAN,DUNGARPUR,2005,9
RAJASTHAN,DUNGARPUR,2006,18
RAJASTHAN,DUNGARPUR,2007,10
RAJASTHAN,DUNGARPUR,2008,26
RAJASTHAN,DUNGARPUR,2009,29
RAJASTHAN,DUNGARPUR,2010,26
RAJASTHAN,DUNGARPUR,2011,39
RAJASTHAN,DUNGARPUR,2012,32
CHHATTISGARH,DURG,2001,144
CHHATTISGARH,DURG,2002,132
CHHATTISGARH,DURG,2003,117
CHHATTISGARH,DURG,2004,124
CHHATTISGARH,DURG,2005,128
CHHATTISGARH,DURG,2006,108
CHHATTISGARH,DURG,2007,119
CHHATTISGARH,DURG,2008,109
CHHATTISGARH,DURG,2009,109
CHHATTISGARH,DURG,2010,106
CHHATTISGARH,DURG,2011,115
CHHATTISGARH,DURG,2012,91
DELHI UT,EAST,2001,24
DELHI UT,EAST,2002,10
DELHI UT,EAST,2003,37
DELHI UT,EAST,2004,62
DELHI UT,EAST,2005,59
DELHI UT,EAST,2006,61
DELHI UT,EAST,2007,73
DELHI UT,EAST,2008,73
DELHI UT,EAST,2009,52
DELHI UT,EAST,2010,47
DELHI UT,EAST,2011,55
DELHI UT,EAST,2012,90
SIKKIM,EAST,2001,7
SIKKIM,EAST,2002,3
SIKKIM,EAST,2003,5
SIKKIM,EAST,2004,1
SIKKIM,EAST,2005,8
SIKKIM,EAST,2006,10
SIKKIM,EAST,2007,8
SIKKIM,EAST,2008,5
SIKKIM,EAST,2009,5
SIKKIM,EAST,2010,5
SIKKIM,EAST,2011,7
SIKKIM,EAST,2012,13
ANDHRA PRADESH,EAST GODAVARI,2001,23
ANDHRA PRADESH,EAST GODAVARI,2002,25
ANDHRA PRADESH,EAST GODAVARI,2003,18
ANDHRA PRADESH,EAST GODAVARI,2004,31
ANDHRA PRADESH,EAST GODAVARI,2005,27
ANDHRA PRADESH,EAST GODAVARI,2006,41
ANDHRA PRADESH,EAST GODAVARI,2007,30
ANDHRA PRADESH,EAST GODAVARI,2008,48
ANDHRA PRADESH,EAST GODAVARI,2009,47
ANDHRA PRADESH,EAST GODAVARI,2010,66
ANDHRA PRADESH,EAST GODAVARI,2011,72
ANDHRA PRADESH,EAST GODAVARI,2012,71
DELHI UT,EOW,2008,0
DELHI UT,EOW,2009,0
DELHI UT,EOW,2010,0
DELHI UT,EOW,2011,0
DELHI UT,EOW,2012,0
KERALA,ERNAKULAM,2001,38
KERALA,ERNAKULAM,2002,27
KERALA,ERNAKULAM COMMR.,2003,11
KERALA,ERNAKULAM COMMR.,2004,7
KERALA,ERNAKULAM COMMR.,2005,7
KERALA,ERNAKULAM COMMR.,2006,14
KERALA,ERNAKULAM COMMR.,2007,23
KERALA,ERNAKULAM COMMR.,2008,12
KERALA,ERNAKULAM COMMR.,2009,20
KERALA,ERNAKULAM COMMR.,2010,20
KERALA,ERNAKULAM COMMR.,2011,62
KERALA,ERNAKULAM COMMR.,2012,28
KERALA,ERNAKULAM RURAL,2003,22
KERALA,ERNAKULAM RURAL,2004,21
KERALA,ERNAKULAM RURAL,2005,15
KERALA,ERNAKULAM RURAL,2006,25
KERALA,ERNAKULAM RURAL,2007,22
KERALA,ERNAKULAM RURAL,2008,35
KERALA,ERNAKULAM RURAL,2009,26
KERALA,ERNAKULAM RURAL,2010,42
KERALA,ERNAKULAM RURAL,2011,30
KERALA,ERNAKULAM RURAL,2012,59
TAMIL NADU,ERODE,2001,9
TAMIL NADU,ERODE,2002,13
TAMIL NADU,ERODE,2003,11
TAMIL NADU,ERODE,2004,13
TAMIL NADU,ERODE,2005,22
TAMIL NADU,ERODE,2006,13
TAMIL NADU,ERODE,2007,20
TAMIL NADU,ERODE,2008,21
TAMIL NADU,ERODE,2009,16
TAMIL NADU,ERODE,2010,15
TAMIL NADU,ERODE,2011,10
TAMIL NADU,ERODE,2012,8
UTTAR PRADESH,ETAH,2001,57
UTTAR PRADESH,ETAH,2002,37
UTTAR PRADESH,ETAH,2003,18
UTTAR PRADESH,ETAH,2004,26
UTTAR PRADESH,ETAH,2005,16
UTTAR PRADESH,ETAH,2006,28
UTTAR PRADESH,ETAH,2007,39
UTTAR PRADESH,ETAH,2008,20
UTTAR PRADESH,ETAH,2009,18
UTTAR PRADESH,ETAH,2010,11
UTTAR PRADESH,ETAH,2011,19
UTTAR PRADESH,ETAH,2012,22
UTTAR PRADESH,ETAWAH,2001,20
UTTAR PRADESH,ETAWAH,2002,12
UTTAR PRADESH,ETAWAH,2003,2
UTTAR PRADESH,ETAWAH,2004,9
UTTAR PRADESH,ETAWAH,2005,12
UTTAR PRADESH,ETAWAH,2006,10
UTTAR PRADESH,ETAWAH,2007,14
UTTAR PRADESH,ETAWAH,2008,19
UTTAR PRADESH,ETAWAH,2009,5
UTTAR PRADESH,ETAWAH,2010,4
UTTAR PRADESH,ETAWAH,2011,13
UTTAR PRADESH,ETAWAH,2012,9
UTTAR PRADESH,FAIZABAD,2001,22
UTTAR PRADESH,FAIZABAD,2002,15
UTTAR PRADESH,FAIZABAD,2003,10
UTTAR PRADESH,FAIZABAD,2004,12
UTTAR PRADESH,FAIZABAD,2005,11
UTTAR PRADESH,FAIZABAD,2006,14
UTTAR PRADESH,FAIZABAD,2007,23
UTTAR PRADESH,FAIZABAD,2008,23
UTTAR PRADESH,FAIZABAD,2009,22
UTTAR PRADESH,FAIZABAD,2010,16
UTTAR PRADESH,FAIZABAD,2011,27
UTTAR PRADESH,FAIZABAD,2012,29
HARYANA,FARIDABAD,2001,37
HARYANA,FARIDABAD,2002,37
HARYANA,FARIDABAD,2003,36
HARYANA,FARIDABAD,2004,42
HARYANA,FARIDABAD,2005,39
HARYANA,FARIDABAD,2006,40
HARYANA,FARIDABAD,2007,37
HARYANA,FARIDABAD,2008,46
HARYANA,FARIDABAD,2009,35
HARYANA,FARIDABAD,2010,51
HARYANA,FARIDABAD,2011,54
HARYANA,FARIDABAD,2012,47
PUNJAB,FARIDKOT,2001,6
PUNJAB,FARIDKOT,2002,6
PUNJAB,FARIDKOT,2003,10
PUNJAB,FARIDKOT,2004,13
PUNJAB,FARIDKOT,2005,6
PUNJAB,FARIDKOT,2006,9
PUNJAB,FARIDKOT,2007,13
PUNJAB,FARIDKOT,2008,15
PUNJAB,FARIDKOT,2009,17
PUNJAB,FARIDKOT,2010,10
PUNJAB,FARIDKOT,2011,8
PUNJAB,FARIDKOT,2012,17
HARYANA,FATEHABAD,2001,17
HARYANA,FATEHABAD,2002,7
HARYANA,FATEHABAD,2003,7
HARYANA,FATEHABAD,2004,9
HARYANA,FATEHABAD,2005,9
HARYANA,FATEHABAD,2006,18
HARYANA,FATEHABAD,2007,7
HARYANA,FATEHABAD,2008,12
HARYANA,FATEHABAD,2009,9
HARYANA,FATEHABAD,2010,21
HARYANA,FATEHABAD,2011,15
HARYANA,FATEHABAD,2012,15
UTTAR PRADESH,FATEHGARH,2001,9
UTTAR PRADESH,FATEHGARH,2002,9
UTTAR PRADESH,FATEHGARH,2003,7
UTTAR PRADESH,FATEHGARH,2004,10
UTTAR PRADESH,FATEHGARH,2005,10
UTTAR PRADESH,FATEHGARH,2006,9
UTTAR PRADESH,FATEHGARH,2007,21
UTTAR PRADESH,FATEHGARH,2008,23
UTTAR PRADESH,FATEHGARH,2009,17
UTTAR PRADESH,FATEHGARH,2010,11
UTTAR PRADESH,FATEHGARH,2011,16
UTTAR PRADESH,FATEHGARH,2012,14
PUNJAB,FATEHGARH SAHIB,2001,11
PUNJAB,FATEHGARH SAHIB,2002,0
PUNJAB,FATEHGARH SAHIB,2003,9
PUNJAB,FATEHGARH SAHIB,2004,4
PUNJAB,FATEHGARH SAHIB,2005,6
PUNJAB,FATEHGARH SAHIB,2006,10
PUNJAB,FATEHGARH SAHIB,2007,15
PUNJAB,FATEHGARH SAHIB,2008,13
PUNJAB,FATEHGARH SAHIB,2009,7
PUNJAB,FATEHGARH SAHIB,2010,11
PUNJAB,FATEHGARH SAHIB,2011,4
PUNJAB,FATEHGARH SAHIB,2012,15
UTTAR PRADESH,FATEHPUR,2001,28
UTTAR PRADESH,FATEHPUR,2002,12
UTTAR PRADESH,FATEHPUR,2003,3
UTTAR PRADESH,FATEHPUR,2004,10
UTTAR PRADESH,FATEHPUR,2005,7
UTTAR PRADESH,FATEHPUR,2006,9
UTTAR PRADESH,FATEHPUR,2007,22
UTTAR PRADESH,FATEHPUR,2008,16
UTTAR PRADESH,FATEHPUR,2009,28
UTTAR PRADESH,FATEHPUR,2010,33
UTTAR PRADESH,FATEHPUR,2011,40
UTTAR PRADESH,FATEHPUR,2012,35
PUNJAB,FAZILKA,2011,21
PUNJAB,FAZILKA,2012,32
PUNJAB,FEROZEPUR,2001,22
PUNJAB,FEROZEPUR,2002,27
PUNJAB,FEROZEPUR,2003,30
PUNJAB,FEROZEPUR,2004,30
PUNJAB,FEROZPUR,2005,24
PUNJAB,FEROZPUR,2006,18
PUNJAB,FEROZPUR,2007,33
PUNJAB,FEROZPUR,2008,30
PUNJAB,FEROZPUR,2009,43
PUNJAB,FEROZPUR,2010,39
PUNJAB,FEROZPUR,2011,20
PUNJAB,FEROZPUR,2012,15
UTTAR PRADESH,FIROZABAD,2001,22
UTTAR PRADESH,FIROZABAD,2002,26
UTTAR PRADESH,FIROZABAD,2003,12
UTTAR PRADESH,FIROZABAD,2004,10
UTTAR PRADESH,FIROZABAD,2005,17
UTTAR PRADESH,FIROZABAD,2006,16
UTTAR PRADESH,FIROZABAD,2007,28
UTTAR PRADESH,FIROZABAD,2008,27
UTTAR PRADESH,FIROZABAD,2009,26
UTTAR PRADESH,FIROZABAD,2010,18
UTTAR PRADESH,FIROZABAD,2011,32
UTTAR PRADESH,FIROZABAD,2012,32
PUNJAB,G.R.P,2001,0
PUNJAB,G.R.P,2002,0
PUNJAB,G.R.P,2003,1
PUNJAB,G.R.P,2004,0
PUNJAB,G.R.P,2005,1
PUNJAB,G.R.P,2006,1
PUNJAB,G.R.P,2007,2
PUNJAB,G.R.P,2008,1
PUNJAB,G.R.P,2009,1
PUNJAB,G.R.P,2010,0
PUNJAB,G.R.P,2011,0
PUNJAB,G.R.P,2012,0
ASSAM,G.R.P.,2001,1
ASSAM,G.R.P.,2002,0
ASSAM,G.R.P.,2003,0
ASSAM,G.R.P.,2004,2
ASSAM,G.R.P.,2005,2
ASSAM,G.R.P.,2006,1
ASSAM,G.R.P.,2007,3
ASSAM,G.R.P.,2008,5
ASSAM,G.R.P.,2009,0
ASSAM,G.R.P.,2010,0
ASSAM,G.R.P.,2011,1
ASSAM,G.R.P.,2012,3
HIMACHAL PRADESH,G.R.P.,2001,0
HIMACHAL PRADESH,G.R.P.,2002,0
HIMACHAL PRADESH,G.R.P.,2003,0
HIMACHAL PRADESH,G.R.P.,2004,0
HIMACHAL PRADESH,G.R.P.,2005,0
HIMACHAL PRADESH,G.R.P.,2006,0
HIMACHAL PRADESH,G.R.P.,2007,0
HIMACHAL PRADESH,G.R.P.,2008,0
HIMACHAL PRADESH,G.R.P.,2009,0
HIMACHAL PRADESH,G.R.P.,2010,0
HIMACHAL PRADESH,G.R.P.,2011,0
HIMACHAL PRADESH,G.R.P.,2012,0
RAJASTHAN,G.R.P.,2001,1
RAJASTHAN,G.R.P.,2002,4
RAJASTHAN,G.R.P.,2003,0
RAJASTHAN,G.R.P.,2004,1
RAJASTHAN,G.R.P.,2005,2
RAJASTHAN,G.R.P.,2006,0
RAJASTHAN,G.R.P.,2007,0
RAJASTHAN,G.R.P.,2008,2
RAJASTHAN,G.R.P.,2009,1
TRIPURA,G.R.P.,2010,0
UTTAR PRADESH,G.R.P.,2001,2
UTTAR PRADESH,G.R.P.,2002,2
UTTAR PRADESH,G.R.P.,2003,3
UTTAR PRADESH,G.R.P.,2004,2
UTTAR PRADESH,G.R.P.,2005,3
UTTAR PRADESH,G.R.P.,2006,1
UTTAR PRADESH,G.R.P.,2007,2
UTTAR PRADESH,G.R.P.,2008,2
UTTAR PRADESH,G.R.P.,2009,1
UTTAR PRADESH,G.R.P.,2010,1
UTTAR PRADESH,G.R.P.,2011,2
UTTAR PRADESH,G.R.P.,2012,3
RAJASTHAN,G.R.P. AJMER,2010,0
RAJASTHAN,G.R.P. JODHPUR,2010,2
DELHI UT,G.R.P.(RLY),2001,1
DELHI UT,G.R.P.(RLY),2002,0
DELHI UT,G.R.P.(RLY),2003,0
DELHI UT,G.R.P.(RLY),2004,5
DELHI UT,G.R.P.(RLY),2005,2
RAJASTHAN,G.R.P.AJMER,2011,2
RAJASTHAN,G.R.P.AJMER,2012,4
RAJASTHAN,G.R.P.JODHPUR,2011,0
RAJASTHAN,G.R.P.JODHPUR,2012,1
KARNATAKA,GADAG,2001,2
KARNATAKA,GADAG,2002,3
KARNATAKA,GADAG,2003,1
KARNATAKA,GADAG,2004,1
KARNATAKA,GADAG,2005,1
KARNATAKA,GADAG,2006,1
KARNATAKA,GADAG,2007,4
KARNATAKA,GADAG,2008,10
KARNATAKA,GADAG,2009,4
KARNATAKA,GADAG,2010,6
KARNATAKA,GADAG,2011,5
KARNATAKA,GADAG,2012,6
MAHARASHTRA,GADCHIROLI,2001,27
MAHARASHTRA,GADCHIROLI,2002,22
MAHARASHTRA,GADCHIROLI,2003,30
MAHARASHTRA,GADCHIROLI,2004,31
MAHARASHTRA,GADCHIROLI,2005,22
MAHARASHTRA,GADCHIROLI,2006,14
MAHARASHTRA,GADCHIROLI,2007,11
MAHARASHTRA,GADCHIROLI,2008,22
MAHARASHTRA,GADCHIROLI,2009,12
MAHARASHTRA,GADCHIROLI,2010,16
MAHARASHTRA,GADCHIROLI,2011,20
MAHARASHTRA,GADCHIROLI,2012,18
ODISHA,GAJAPATI,2001,10
ODISHA,GAJAPATI,2002,8
ODISHA,GAJAPATI,2003,4
ODISHA,GAJAPATI,2004,5
ODISHA,GAJAPATI,2005,9
ODISHA,GAJAPATI,2006,7
ODISHA,GAJAPATI,2007,8
ODISHA,GAJAPATI,2008,8
ODISHA,GAJAPATI,2009,9
ODISHA,GAJAPATI,2010,6
ODISHA,GAJAPATI,2011,11
ODISHA,GAJAPATI,2012,18
JAMMU & KASHMIR,GANDERBAL,2001,5
JAMMU & KASHMIR,GANDERBAL,2002,7
JAMMU & KASHMIR,GANDERBAL,2003,8
JAMMU & KASHMIR,GANDERBAL,2004,12
JAMMU & KASHMIR,GANDERBAL,2005,5
JAMMU & KASHMIR,GANDERBAL,2006,4
JAMMU & KASHMIR,GANDERBAL,2007,5
JAMMU & KASHMIR,GANDERBAL,2008,2
JAMMU & KASHMIR,GANDERBAL,2009,7
JAMMU & KASHMIR,GANDERBAL,2010,1
JAMMU & KASHMIR,GANDERBAL,2011,9
JAMMU & KASHMIR,GANDERBAL,2012,9
GUJARAT,GANDHINAGAR,2001,4
GUJARAT,GANDHINAGAR,2002,7
GUJARAT,GANDHINAGAR,2003,0
GUJARAT,GANDHINAGAR,2004,8
GUJARAT,GANDHINAGAR,2005,9
GUJARAT,GANDHINAGAR,2006,14
GUJARAT,GANDHINAGAR,2007,12
GUJARAT,GANDHINAGAR,2008,8
GUJARAT,GANDHINAGAR,2009,7
GUJARAT,GANDHINAGAR,2010,13
GUJARAT,GANDHINAGAR,2011,14
GUJARAT,GANDHINAGAR,2012,20
RAJASTHAN,GANGANAGAR,2001,55
RAJASTHAN,GANGANAGAR,2002,54
RAJASTHAN,GANGANAGAR,2003,75
RAJASTHAN,GANGANAGAR,2004,50
RAJASTHAN,GANGANAGAR,2005,45
RAJASTHAN,GANGANAGAR,2006,39
RAJASTHAN,GANGANAGAR,2007,66
RAJASTHAN,GANGANAGAR,2008,70
RAJASTHAN,GANGANAGAR,2009,89
RAJASTHAN,GANGANAGAR,2010,72
RAJASTHAN,GANGANAGAR,2011,99
RAJASTHAN,GANGANAGAR,2012,77
ODISHA,GANJAM,2001,22
ODISHA,GANJAM,2002,34
ODISHA,GANJAM,2003,17
ODISHA,GANJAM,2004,15
ODISHA,GANJAM,2005,26
ODISHA,GANJAM,2006,33
ODISHA,GANJAM,2007,34
ODISHA,GANJAM,2008,48
ODISHA,GANJAM,2009,34
ODISHA,GANJAM,2010,48
ODISHA,GANJAM,2011,50
ODISHA,GANJAM,2012,53
JHARKHAND,GARHWA,2001,11
JHARKHAND,GARHWA,2002,32
JHARKHAND,GARHWA,2003,23
JHARKHAND,GARHWA,2004,32
JHARKHAND,GARHWA,2005,17
JHARKHAND,GARHWA,2006,26
JHARKHAND,GARHWA,2007,17
JHARKHAND,GARHWA,2008,21
JHARKHAND,GARHWA,2009,27
JHARKHAND,GARHWA,2010,21
JHARKHAND,GARHWA,2011,51
JHARKHAND,GARHWA,2012,43
CHHATTISGARH,GARIYABAND,2011,21
CHHATTISGARH,GARIYABAND,2012,19
MEGHALAYA,GARO HILLS EAST,2001,2
MEGHALAYA,GARO HILLS EAST,2002,1
MEGHALAYA,GARO HILLS EAST,2003,1
MEGHALAYA,GARO HILLS EAST,2004,0
MEGHALAYA,GARO HILLS EAST,2005,4
MEGHALAYA,GARO HILLS EAST,2006,3
MEGHALAYA,GARO HILLS EAST,2007,4
MEGHALAYA,GARO HILLS EAST,2008,1
MEGHALAYA,GARO HILLS EAST,2009,3
MEGHALAYA,GARO HILLS EAST,2010,5
MEGHALAYA,GARO HILLS EAST,2011,3
MEGHALAYA,GARO HILLS EAST,2012,2
MEGHALAYA,GARO HILLS SOUTH,2001,1
MEGHALAYA,GARO HILLS SOUTH,2002,1
MEGHALAYA,GARO HILLS SOUTH,2003,3
MEGHALAYA,GARO HILLS SOUTH,2004,1
MEGHALAYA,GARO HILLS SOUTH,2005,0
MEGHALAYA,GARO HILLS SOUTH,2006,0
MEGHALAYA,GARO HILLS SOUTH,2007,1
MEGHALAYA,GARO HILLS SOUTH,2008,2
MEGHALAYA,GARO HILLS SOUTH,2009,0
MEGHALAYA,GARO HILLS SOUTH,2010,4
MEGHALAYA,GARO HILLS SOUTH,2011,2
MEGHALAYA,GARO HILLS SOUTH,2012,6
MEGHALAYA,GARO HILLS WEST,2001,5
MEGHALAYA,GARO HILLS WEST,2002,5
MEGHALAYA,GARO HILLS WEST,2003,6
MEGHALAYA,GARO HILLS WEST,2004,12
MEGHALAYA,GARO HILLS WEST,2005,3
MEGHALAYA,GARO HILLS WEST,2006,10
MEGHALAYA,GARO HILLS WEST,2007,4
MEGHALAYA,GARO HILLS WEST,2008,10
MEGHALAYA,GARO HILLS WEST,2009,8
MEGHALAYA,GARO HILLS WEST,2010,15
MEGHALAYA,GARO HILLS WEST,2011,8
MEGHALAYA,GARO HILLS WEST,2012,6
UTTAR PRADESH,GAUTAMBUDH NAGAR,2001,16
UTTAR PRADESH,GAUTAMBUDH NAGAR,2002,19
UTTAR PRADESH,GAUTAMBUDH NAGAR,2003,10
UTTAR PRADESH,GAUTAMBUDH NAGAR,2004,20
UTTAR PRADESH,GAUTAMBUDH NAGAR,2005,18
UTTAR PRADESH,GAUTAMBUDH NAGAR,2006,26
UTTAR PRADESH,GAUTAMBUDH NAGAR,2007,17
UTTAR PRADESH,GAUTAMBUDH NAGAR,2008,22
UTTAR PRADESH,GAUTAMBUDH NAGAR,2009,24
UTTAR PRADESH,GAUTAMBUDH NAGAR,2010,39
UTTAR PRADESH,GAUTAMBUDH NAGAR,2011,25
UTTAR PRADESH,GAUTAMBUDH NAGAR,2012,19
BIHAR,GAYA,2001,25
BIHAR,GAYA,2002,31
BIHAR,GAYA,2003,27
BIHAR,GAYA,2004,19
BIHAR,GAYA,2005,22
BIHAR,GAYA,2006,25
BIHAR,GAYA,2007,28
BIHAR,GAYA,2008,52
BIHAR,GAYA,2009,20
BIHAR,GAYA,2010,22
BIHAR,GAYA,2011,23
BIHAR,GAYA,2012,35
UTTAR PRADESH,GHAZIABAD,2001,31
UTTAR PRADESH,GHAZIABAD,2002,20
UTTAR PRADESH,GHAZIABAD,2003,15
UTTAR PRADESH,GHAZIABAD,2004,25
UTTAR PRADESH,GHAZIABAD,2005,24
UTTAR PRADESH,GHAZIABAD,2006,29
UTTAR PRADESH,GHAZIABAD,2007,33
UTTAR PRADESH,GHAZIABAD,2008,30
UTTAR PRADESH,GHAZIABAD,2009,53
UTTAR PRADESH,GHAZIABAD,2010,44
UTTAR PRADESH,GHAZIABAD,2011,22
UTTAR PRADESH,GHAZIABAD,2012,31
UTTAR PRADESH,GHAZIPUR,2001,6
UTTAR PRADESH,GHAZIPUR,2002,4
UTTAR PRADESH,GHAZIPUR,2003,2
UTTAR PRADESH,GHAZIPUR,2004,4
UTTAR PRADESH,GHAZIPUR,2005,2
UTTAR PRADESH,GHAZIPUR,2006,8
UTTAR PRADESH,GHAZIPUR,2007,10
UTTAR PRADESH,GHAZIPUR,2008,6
UTTAR PRADESH,GHAZIPUR,2009,3
UTTAR PRADESH,GHAZIPUR,2010,5
UTTAR PRADESH,GHAZIPUR,2011,11
UTTAR PRADESH,GHAZIPUR,2012,9
JHARKHAND,GIRIDIH,2001,42
JHARKHAND,GIRIDIH,2002,39
JHARKHAND,GIRIDIH,2003,35
JHARKHAND,GIRIDIH,2004,39
JHARKHAND,GIRIDIH,2005,28
JHARKHAND,GIRIDIH,2006,56
JHARKHAND,GIRIDIH,2007,46
JHARKHAND,GIRIDIH,2008,48
JHARKHAND,GIRIDIH,2009,28
JHARKHAND,GIRIDIH,2010,37
JHARKHAND,GIRIDIH,2011,47
JHARKHAND,GIRIDIH,2012,37
ASSAM,GOALPARA,2001,35
ASSAM,GOALPARA,2002,40
ASSAM,GOALPARA,2003,60
ASSAM,GOALPARA,2004,50
ASSAM,GOALPARA,2005,40
ASSAM,GOALPARA,2006,55
ASSAM,GOALPARA,2007,51
ASSAM,GOALPARA,2008,66
ASSAM,GOALPARA,2009,90
ASSAM,GOALPARA,2010,119
ASSAM,GOALPARA,2011,99
ASSAM,GOALPARA,2012,65
JHARKHAND,GODDA,2001,37
JHARKHAND,GODDA,2002,86
JHARKHAND,GODDA,2003,76
JHARKHAND,GODDA,2004,86
JHARKHAND,GODDA,2005,46
JHARKHAND,GODDA,2006,33
JHARKHAND,GODDA,2007,30
JHARKHAND,GODDA,2008,26
JHARKHAND,GODDA,2009,24
JHARKHAND,GODDA,2010,26
JHARKHAND,GODDA,2011,29
JHARKHAND,GODDA,2012,22
ASSAM,GOLAGHAT,2001,30
ASSAM,GOLAGHAT,2002,42
ASSAM,GOLAGHAT,2003,67
ASSAM,GOLAGHAT,2004,62
ASSAM,GOLAGHAT,2005,54
ASSAM,GOLAGHAT,2006,63
ASSAM,GOLAGHAT,2007,64
ASSAM,GOLAGHAT,2008,42
ASSAM,GOLAGHAT,2009,35
ASSAM,GOLAGHAT,2010,40
ASSAM,GOLAGHAT,2011,54
ASSAM,GOLAGHAT,2012,60
TRIPURA,GOMATI,2012,26
UTTAR PRADESH,GONDA,2001,18
UTTAR PRADESH,GONDA,2002,11
UTTAR PRADESH,GONDA,2003,5
UTTAR PRADESH,GONDA,2004,14
UTTAR PRADESH,GONDA,2005,12
UTTAR PRADESH,GONDA,2006,22
UTTAR PRADESH,GONDA,2007,13
UTTAR PRADESH,GONDA,2008,27
UTTAR PRADESH,GONDA,2009,29
UTTAR PRADESH,GONDA,2010,9
UTTAR PRADESH,GONDA,2011,34
UTTAR PRADESH,GONDA,2012,23
MAHARASHTRA,GONDIA,2001,23
MAHARASHTRA,GONDIA,2002,25
MAHARASHTRA,GONDIA,2003,25
MAHARASHTRA,GONDIA,2004,30
MAHARASHTRA,GONDIA,2005,22
MAHARASHTRA,GONDIA,2006,23
MAHARASHTRA,GONDIA,2007,32
MAHARASHTRA,GONDIA,2008,38
MAHARASHTRA,GONDIA,2009,33
MAHARASHTRA,GONDIA,2010,28
MAHARASHTRA,GONDIA,2011,31
MAHARASHTRA,GONDIA,2012,38
BIHAR,GOPALGANJ,2001,13
BIHAR,GOPALGANJ,2002,16
BIHAR,GOPALGANJ,2003,12
BIHAR,GOPALGANJ,2004,39
BIHAR,GOPALGANJ,2005,24
BIHAR,GOPALGANJ,2006,23
BIHAR,GOPALGANJ,2007,9
BIHAR,GOPALGANJ,2008,23
BIHAR,GOPALGANJ,2009,37
BIHAR,GOPALGANJ,2010,18
BIHAR,GOPALGANJ,2011,17
BIHAR,GOPALGANJ,2012,20
UTTAR PRADESH,GORAKHPUR,2001,13
UTTAR PRADESH,GORAKHPUR,2002,27
UTTAR PRADESH,GORAKHPUR,2003,13
UTTAR PRADESH,GORAKHPUR,2004,24
UTTAR PRADESH,GORAKHPUR,2005,24
UTTAR PRADESH,GORAKHPUR,2006,23
UTTAR PRADESH,GORAKHPUR,2007,19
UTTAR PRADESH,GORAKHPUR,2008,46
UTTAR PRADESH,GORAKHPUR,2009,43
UTTAR PRADESH,GORAKHPUR,2010,45
UTTAR PRADESH,GORAKHPUR,2011,50
UTTAR PRADESH,GORAKHPUR,2012,52
HARYANA,GRP,2001,0
HARYANA,GRP,2002,1
HARYANA,GRP,2003,1
HARYANA,GRP,2004,2
HARYANA,GRP,2005,2
HARYANA,GRP,2006,1
HARYANA,GRP,2007,2
HARYANA,GRP,2008,1
HARYANA,GRP,2009,3
HARYANA,GRP,2010,1
HARYANA,GRP,2011,0
HARYANA,GRP,2012,1
TRIPURA,GRP,2011,0
TRIPURA,GRP,2012,0
CHHATTISGARH,GRP RAIPUR,2001,0
CHHATTISGARH,GRP RAIPUR,2002,5
CHHATTISGARH,GRP RAIPUR,2003,1
CHHATTISGARH,GRP RAIPUR,2004,2
CHHATTISGARH,GRP RAIPUR,2005,2
CHHATTISGARH,GRP RAIPUR,2006,1
CHHATTISGARH,GRP RAIPUR,2007,1
CHHATTISGARH,GRP RAIPUR,2008,2
CHHATTISGARH,GRP RAIPUR,2009,0
CHHATTISGARH,GRP RAIPUR,2010,1
CHHATTISGARH,GRP RAIPUR,2011,2
CHHATTISGARH,GRP RAIPUR,2012,2
DELHI UT,GRP(RLY),2006,1
DELHI UT,GRP(RLY),2007,4
DELHI UT,GRP(RLY),2008,0
DELHI UT,GRP(RLY),2009,4
DELHI UT,GRP(RLY),2010,2
DELHI UT,GRP(RLY),2011,4
DELHI UT,GRP(RLY),2012,4
KARNATAKA,GULBARGA,2001,20
KARNATAKA,GULBARGA,2002,24
KARNATAKA,GULBARGA,2003,14
KARNATAKA,GULBARGA,2004,23
KARNATAKA,GULBARGA,2005,16
KARNATAKA,GULBARGA,2006,18
KARNATAKA,GULBARGA,2007,35
KARNATAKA,GULBARGA,2008,25
KARNATAKA,GULBARGA,2009,32
KARNATAKA,GULBARGA,2010,34
KARNATAKA,GULBARGA,2011,36
KARNATAKA,GULBARGA,2012,29
JHARKHAND,GUMLA,2001,29
JHARKHAND,GUMLA,2002,31
JHARKHAND,GUMLA,2003,31
JHARKHAND,GUMLA,2004,31
