STATE/UT,DISTRICT,YEAR,MURDER,RAPE,THEFT
ANDHRA PRADESH,ADILABAD,2001,101,50,199
ANDHRA PRADESH,ANANTAPUR,2001,151,23,366
ANDHRA PRADESH,CHITTOOR,2001,101,27,723
ANDHRA PRADESH,CUDDAPAH,2001,80,20,173
ANDHRA PRADESH,EAST GODAVARI,2001,82,23,1021
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,0,162
ANDHRA PRADESH,GUNTUR,2001,182,54,1122
ANDHRA PRADESH,HYDERABAD CITY,2001,111,37,2792
ANDHRA PRADESH,KARIMNAGAR,2001,162,56,392
ANDHRA PRADESH,KHAMMAM,2001,93,47,368
ANDHRA PRADESH,KRISHNA,2001,65,37,478
ANDHRA PRADESH,KURNOOL,2001,133,29,297
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,59,316
ANDHRA PRADESH,MEDAK,2001,101,35,286
ANDHRA PRADESH,NALGONDA,2001,122,35,318
ANDHRA PRADESH,NELLORE,2001,89,46,608
ANDHRA PRADESH,NIZAMABAD,2001,106,21,234
ANDHRA PRADESH,PRAKASHAM,2001,102,19,278
ANDHRA PRADESH,RANGA REDDY,2001,214,72,1296
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,296
ANDHRA PRADESH,SRIKAKULAM,2001,38,8,231
ANDHRA PRADESH,VIJAYAWADA,2001,53,25,2057
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,265
ANDHRA PRADESH,VISAKHA RURAL,2001,58,12,165
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,13,630
ANDHRA PRADESH,VIZIANAGARAM,2001,33,8,144
ANDHRA PRADESH,WARANGAL,2001,158,53,418
ANDHRA PRADESH,WEST GODAVARI,2001,77,61,1116
ANDHRA PRADESH,TOTAL,2001,2602,871,16751
ARUNACHAL PRADESH,CHANGLANG,2001,11,1,24
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,2,19
ARUNACHAL PRADESH,KAMENG EAST,2001,3,2,26
ARUNACHAL PRADESH,KAMENG WEST,2001,4,0,26
ARUNACHAL PRADESH,LOHIT,2001,16,2,31
ARUNACHAL PRADESH,PAPUM PARE,2001,11,9,109
ARUNACHAL PRADESH,SIANG EAST,2001,7,5,52
ARUNACHAL PRADESH,SIANG UPPER,2001,1,2,9
ARUNACHAL PRADESH,SIANG WEST,2001,5,4,72
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8,2,25
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4,2,20
ARUNACHAL PRADESH,TAWANG,2001,2,1,13
ARUNACHAL PRADESH,TIRAP,2001,8,1,17
ARUNACHAL PRADESH,TOTAL,2001,83,33,443
ASSAM,BARPETA,2001,64,28,187
ASSAM,BONGAIGAON,2001,45,20,92
ASSAM,C.I.D.,2001,0,0,1
ASSAM,CACHAR,2001,52,45,359
ASSAM,DARRANG,2001,61,48,185
ASSAM,DHEMAJI,2001,15,42,79
ASSAM,DHUBRI,2001,65,43,83
ASSAM,DIBRUGARH,2001,110,35,325
ASSAM,G.R.P.,2001,13,1,135
ASSAM,GOALPARA,2001,28,35,116
ASSAM,GOLAGHAT,2001,53,30,211
ASSAM,GUWAHATI CITY,2001,71,37,736
ASSAM,HAILAKANDI,2001,18,24,92
ASSAM,JORHAT,2001,40,42,230
ASSAM,KAMRUP,2001,37,21,275
ASSAM,KARBI ANGLONG,2001,65,5,79
ASSAM,KARIMGANJ,2001,32,33,114
ASSAM,KOKRAJHAR,2001,87,14,89
ASSAM,LAKHIMPUR,2001,26,64,195
ASSAM,MORIGAON,2001,20,23,66
ASSAM,N.C.HILLS,2001,17,2,30
ASSAM,NAGAON,2001,95,51,491
ASSAM,NALBARI,2001,79,30,119
ASSAM,R.P.O.,2001,11,3,29
ASSAM,SIBSAGAR,2001,59,47,343
ASSAM,SONITPUR,2001,86,53,356
ASSAM,TINSUKIA,2001,107,41,350
ASSAM,TOTAL,2001,1356,817,5367
BIHAR,ARARIA,2001,47,93,161
BIHAR,ARWAL,2001,37,0,24
BIHAR,AURANGABAD,2001,74,16,103
BIHAR,BAGAHA,2001,34,25,115
BIHAR,BANKA,2001,93,34,73
BIHAR,BEGUSARAI,2001,124,13,265
BIHAR,BETTIAH,2001,66,20,265
BIHAR,BHABHUA,2001,41,10,184
BIHAR,BHAGALPUR,2001,128,35,370
BIHAR,BHOJPUR,2001,135,22,214
BIHAR,BUXAR,2001,56,8,179
BIHAR,DARBHANGA,2001,53,19,103
BIHAR,GAYA,2001,200,25,416
BIHAR,GOPALGANJ,2001,107,13,153
BIHAR,JAMALPUR RLY.,2001,7,1,117
BIHAR,JAMUI,2001,67,10,81
BIHAR,JEHANABAD,2001,73,6,121
BIHAR,KATIHAR,2001,60,51,146
BIHAR,KATIHAR RLY.,2001,7,0,221
BIHAR,KHAGARIA,2001,72,5,86
BIHAR,KISHANGANJ,2001,25,22,57
BIHAR,LAKHISARAI,2001,61,10,79
BIHAR,MADHEPURA,2001,56,11,69
BIHAR,MADHUBANI,2001,35,13,98
BIHAR,MOTIHARI,2001,114,44,271
BIHAR,MUNGER,2001,51,11,157
BIHAR,MUZAFFARPUR,2001,153,73,538
BIHAR,MUZAFFARPUR RLY.,2001,13,2,313
BIHAR,NALANDA,2001,208,40,412
BIHAR,NAUGACHIA,2001,36,7,32
BIHAR,NAWADAH,2001,77,15,66
BIHAR,PATNA,2001,434,27,1568
BIHAR,PATNA RLY.,2001,24,1,811
BIHAR,PURNEA,2001,104,39,227
BIHAR,ROHTAS,2001,127,25,317
BIHAR,SAHARSA,2001,36,12,56
BIHAR,SAMASTIPUR,2001,107,19,247
BIHAR,SARAN,2001,137,20,246
BIHAR,SHEIKHPURA,2001,28,3,89
BIHAR,SHEOHAR,2001,18,11,16
BIHAR,SITAMARHI,2001,51,23,132
BIHAR,SIWAN,2001,116,4,112
BIHAR,SUPAUL,2001,41,30,129
BIHAR,VAISHALI,2001,110,20,262
BIHAR,TOTAL,2001,3643,888,9701
CHHATTISGARH,BALRAMPUR,2001,13,17,21
CHHATTISGARH,BILASPUR,2001,99,69,690
CHHATTISGARH,BIZAPUR,2001,9,4,3
CHHATTISGARH,DANTEWARA,2001,83,19,64
CHHATTISGARH,DHAMTARI,2001,14,22,110
CHHATTISGARH,DURG,2001,76,144,893
CHHATTISGARH,GRP RAIPUR,2001,2,0,197
CHHATTISGARH,JAGDALPUR,2001,80,59,172
CHHATTISGARH,JANJGIR,2001,48,29,237
CHHATTISGARH,JASHPUR,2001,37,36,54
CHHATTISGARH,KANKER,2001,31,42,53
CHHATTISGARH,KAWARDHA,2001,19,35,43
CHHATTISGARH,KORBA,2001,33,46,305
CHHATTISGARH,KORIYA,2001,35,34,153
CHHATTISGARH,MAHASAMUND,2001,18,43,146
CHHATTISGARH,RAIGARH,2001,50,53,173
CHHATTISGARH,RAIPUR,2001,92,104,953
CHHATTISGARH,RAJNANDGAON,2001,36,58,231
CHHATTISGARH,SARGUJA,2001,105,145,314
CHHATTISGARH,TOTAL,2001,880,959,4812
GOA,NORTH GOA,2001,22,4,291
GOA,SOUTH GOA,2001,14,8,285
GOA,TOTAL,2001,36,12,576
GUJARAT,AHMEDABAD COMMR.,2001,90,39,3588
GUJARAT,AHMEDABAD RURAL,2001,26,5,225
GUJARAT,AHWA-DANG,2001,6,1,8
GUJARAT,AMRELI,2001,41,2,199
GUJARAT,ANAND,2001,28,3,427
GUJARAT,BHARUCH,2001,37,4,388
GUJARAT,BHAVNAGAR,2001,64,9,561
GUJARAT,DAHOD,2001,36,5,120
GUJARAT,GANDHINAGAR,2001,25,4,585
GUJARAT,HIMATNAGAR,2001,55,17,191
GUJARAT,JAMNAGAR,2001,48,20,530
GUJARAT,JUNAGADH,2001,56,14,547
GUJARAT,KHEDA NORTH,2001,42,11,358
GUJARAT,KUTCH,2001,34,2,307
GUJARAT,MEHSANA,2001,28,4,557
GUJARAT,NARMADA,2001,16,8,46
GUJARAT,NAVSARI,2001,26,2,120
GUJARAT,PALANPUR,2001,52,18,420
GUJARAT,PANCHMAHAL,2001,56,5,313
GUJARAT,PATAN,2001,24,3,220
GUJARAT,PORBANDAR,2001,15,6,116
GUJARAT,RAJKOT COMMR.,2001,29,5,1245
GUJARAT,RAJKOT RURAL,2001,30,20,378
GUJARAT,SURAT COMMR.,2001,98,11,1422
GUJARAT,SURAT RURAL,2001,62,26,219
GUJARAT,SURENDRANAGAR,2001,38,11,204
GUJARAT,VADODARA COMMR.,2001,34,3,997
GUJARAT,VADODARA RURAL,2001,71,18,210
GUJARAT,VALSAD,2001,44,9,432
GUJARAT,W.RLY,2001,15,1,901
GUJARAT,TOTAL,2001,1226,286,15834
HARYANA,AMBALA,2001,26,11,365
HARYANA,BHIWANI,2001,40,10,190
HARYANA,FARIDABAD,2001,68,37,668
HARYANA,FATEHABAD,2001,18,17,141
HARYANA,GRP,2001,24,0,169
HARYANA,GURGAON,2001,69,32,794
HARYANA,HISSAR,2001,45,10,438
HARYANA,JHAJJAR,2001,48,21,183
HARYANA,JIND,2001,37,21,148
HARYANA,KAITHAL,2001,33,16,144
HARYANA,KARNAL,2001,42,44,468
HARYANA,KURUKSHETRA,2001,20,31,343
HARYANA,MAHENDRAGARH,2001,26,11,116
HARYANA,PANCHKULA,2001,12,6,226
HARYANA,PANIPAT,2001,43,38,415
HARYANA,REWARI,2001,21,11,155
HARYANA,ROHTAK,2001,57,28,365
HARYANA,SIRSA,2001,37,17,240
HARYANA,SONIPAT,2001,73,15,347
HARYANA,YAMUNANAGAR,2001,42,22,202
HARYANA,TOTAL,2001,781,398,6117
HIMACHAL PRADESH,BILASPUR,2001,8,5,49
HIMACHAL PRADESH,CHAMBA,2001,13,12,29
HIMACHAL PRADESH,G.R.P.,2001,1,0,1
HIMACHAL PRADESH,HAMIRPUR,2001,2,3,17
HIMACHAL PRADESH,KANGRA,2001,24,18,108
HIMACHAL PRADESH,KINNAUR,2001,5,6,2
HIMACHAL PRADESH,KULLU,2001,13,13,17
HIMACHAL PRADESH,LAHAUL-SPITI,2001,1,2,1
HIMACHAL PRADESH,MANDI,2001,18,16,64
HIMACHAL PRADESH,SHIMLA,2001,14,18,188
HIMACHAL PRADESH,SIRMAUR,2001,3,10,27
HIMACHAL PRADESH,SOLAN,2001,11,12,59
HIMACHAL PRADESH,UNA,2001,6,9,38
HIMACHAL PRADESH,TOTAL,2001,119,124,600
JAMMU & KASHMIR,ANANTNAG,2001,74,6,83
JAMMU & KASHMIR,AWANTIPORA,2001,25,1,19
JAMMU & KASHMIR,BARAMULLA,2001,144,28,156
JAMMU & KASHMIR,BORDER,2001,6,12,19
JAMMU & KASHMIR,BUDGAM,2001,78,7,94
JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0
JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0
JAMMU & KASHMIR,DODA,2001,104,7,18
JAMMU & KASHMIR,GANDERBAL,2001,24,5,44
JAMMU & KASHMIR,JAMMU,2001,27,13,479
JAMMU & KASHMIR,KARGIL,2001,0,0,6
JAMMU & KASHMIR,KATHUA,2001,16,13,37
JAMMU & KASHMIR,KULGAM,2001,39,6,43
JAMMU & KASHMIR,KUPWARA,2001,141,6,39
JAMMU & KASHMIR,LEH,2001,3,0,6
JAMMU & KASHMIR,POONCH,2001,100,13,67
JAMMU & KASHMIR,PULWAMA,2001,46,7,144
JAMMU & KASHMIR,RAILWAYS,2001,1,0,3
JAMMU & KASHMIR,RAJOURI,2001,76,17,21
JAMMU & KASHMIR,RAMBAN,2001,51,3,12
JAMMU & KASHMIR,REASI,2001,36,7,22
JAMMU & KASHMIR,SRINAGAR,2001,63,8,490
JAMMU & KASHMIR,UDHAMPUR,2001,21,10,117
JAMMU & KASHMIR,TOTAL,2001,1075,169,1919
JHARKHAND,BOKARO,2001,70,26,435
JHARKHAND,CHAIBASA,2001,109,32,99
JHARKHAND,CHATRA,2001,40,6,80
JHARKHAND,DEOGHAR,2001,47,22,129
JHARKHAND,DHANBAD,2001,97,32,546
JHARKHAND,DHANBAD RLY.,2001,11,2,209
JHARKHAND,DUMKA,2001,63,27,66
JHARKHAND,GARHWA,2001,32,11,54
JHARKHAND,GIRIDIH,2001,63,42,111
JHARKHAND,GODDA,2001,61,37,70
JHARKHAND,GUMLA,2001,136,29,56
JHARKHAND,HAZARIBAGH,2001,76,41,348
JHARKHAND,JAMSHEDPUR,2001,81,50,343
JHARKHAND,JAMSHEDPUR RLY.,2001,4,1,65
JHARKHAND,JAMTARA,2001,22,18,68
JHARKHAND,KODERMA,2001,21,2,77
JHARKHAND,LATEHAR,2001,54,12,48
JHARKHAND,LOHARDAGGA,2001,33,12,28
JHARKHAND,PAKUR,2001,31,23,37
JHARKHAND,PALAMU,2001,73,15,94
JHARKHAND,RANCHI,2001,243,73,647
JHARKHAND,SAHEBGANJ,2001,47,20,80
JHARKHAND,SARAIKELA,2001,44,17,123
JHARKHAND,SIMDEGA,2001,49,17,14
JHARKHAND,TOTAL,2001,1507,567,3827
KARNATAKA,BAGALKOT,2001,59,2,105
KARNATAKA,BANGALORE COMMR.,2001,221,40,6293
KARNATAKA,BANGALORE RURAL,2001,137,13,533
KARNATAKA,BELGAUM,2001,120,8,386
KARNATAKA,BELLARY,2001,58,16,303
KARNATAKA,BIDAR,2001,48,7,202
KARNATAKA,BIJAPUR,2001,51,6,202
KARNATAKA,CHAMARAJNAGAR,2001,19,4,133
KARNATAKA,CHICKMAGALUR,2001,41,8,222
KARNATAKA,CHITRADURGA,2001,31,18,145
KARNATAKA,DAKSHIN KANNADA,2001,33,3,219
KARNATAKA,DAVANAGERE,2001,58,22,332
KARNATAKA,DHARWAD COMMR.,2001,16,4,245
KARNATAKA,DHARWAD RURAL,2001,25,3,38
KARNATAKA,GADAG,2001,22,2,55
KARNATAKA,GULBARGA,2001,95,20,268
KARNATAKA,HASSAN,2001,64,20,268
KARNATAKA,HAVERI,2001,24,3,111
KARNATAKA,K.G.F.,2001,20,1,108
KARNATAKA,KODAGU,2001,26,4,87
KARNATAKA,KOLAR,2001,69,17,284
KARNATAKA,KOPPAL,2001,23,6,120
KARNATAKA,MANDYA,2001,67,15,328
KARNATAKA,MYSORE COMMR.,2001,32,2,326
KARNATAKA,MYSORE RURAL,2001,53,12,200
KARNATAKA,RAICHUR,2001,33,12,150
KARNATAKA,RAILWAYS,2001,12,1,331
KARNATAKA,SHIMOGA,2001,56,12,292
KARNATAKA,TUMKUR,2001,80,6,389
KARNATAKA,UDUPI,2001,16,2,112
KARNATAKA,UTTAR KANNADA,2001,17,4,81
KARNATAKA,TOTAL,2001,1626,293,12868
KERALA,ALAPUZHA,2001,22,21,195
KERALA,CBCID,2001,22,2,5
KERALA,ERNAKULAM,2001,44,38,1264
KERALA,IDUKKI,2001,33,34,254
KERALA,KANNUR,2001,26,42,213
KERALA,KASARGOD,2001,18,28,145
KERALA,KOLLAM,2001,41,55,291
KERALA,KOTTAYAM,2001,34,22,373
KERALA,KOZHIKODE,2001,34,39,428
KERALA,MALAPPURAM,2001,23,71,340
KERALA,PALAKKAD,2001,45,63,315
KERALA,PATHANAMTHITTA,2001,20,12,129
KERALA,RAILWAYS,2001,0,1,197
KERALA,THRISSUR,2001,42,42,516
KERALA,TRIVANDRUM,2001,53,57,636
KERALA,WAYANADU,2001,15,35,140
KERALA,TOTAL,2001,472,562,5441
MADHYA PRADESH,BALAGHAT,2001,56,87,226
MADHYA PRADESH,BARWANI,2001,41,34,237
MADHYA PRADESH,BETUL,2001,56,95,246
MADHYA PRADESH,BHIND,2001,63,31,283
MADHYA PRADESH,BHOPAL,2001,61,106,1351
MADHYA PRADESH,BHOPAL RLY.,2001,5,1,705
MADHYA PRADESH,CHHATARPUR,2001,54,65,163
MADHYA PRADESH,CHHINDWARA,2001,78,93,239
MADHYA PRADESH,DAMOH,2001,43,66,188
MADHYA PRADESH,DATIYA,2001,53,12,103
MADHYA PRADESH,DEWAS,2001,50,78,677
MADHYA PRADESH,DHAR,2001,89,68,651
MADHYA PRADESH,DINDORI,2001,13,20,44
MADHYA PRADESH,GUNA,2001,71,124,350
MADHYA PRADESH,GWALIOR,2001,84,59,925
MADHYA PRADESH,HARDA,2001,14,28,74
MADHYA PRADESH,HOSHANGABAD,2001,53,65,286
MADHYA PRADESH,INDORE,2001,111,84,2708
MADHYA PRADESH,INDORE RLY.,2001,6,2,193
MADHYA PRADESH,JABALPUR,2001,103,108,887
MADHYA PRADESH,JABALPUR RLY.,2001,3,0,221
MADHYA PRADESH,JHABUA,2001,124,44,269
MADHYA PRADESH,KATNI,2001,51,25,239
MADHYA PRADESH,KHANDWA,2001,41,63,290
MADHYA PRADESH,KHARGON,2001,47,47,533
MADHYA PRADESH,MANDLA,2001,35,64,116
MADHYA PRADESH,MANDSAUR,2001,28,41,444
MADHYA PRADESH,MORENA,2001,63,35,564
MADHYA PRADESH,NARSINGHPUR,2001,38,70,149
MADHYA PRADESH,NEEMUCH,2001,17,37,376
MADHYA PRADESH,PANNA,2001,24,44,99
MADHYA PRADESH,RAISEN,2001,39,79,187
MADHYA PRADESH,RAJGARH,2001,42,95,218
MADHYA PRADESH,RATLAM,2001,58,70,468
MADHYA PRADESH,REWA,2001,53,31,410
MADHYA PRADESH,SAGAR,2001,84,141,497
MADHYA PRADESH,SATNA,2001,49,58,495
MADHYA PRADESH,SEONI,2001,40,52,161
MADHYA PRADESH,SHAHDOL,2001,57,63,390
MADHYA PRADESH,SHAJAPUR,2001,42,90,588
MADHYA PRADESH,SHEOPUR,2001,24,21,94
MADHYA PRADESH,SHIVPURI,2001,88,72,255
MADHYA PRADESH,SIDHI,2001,36,42,346
MADHYA PRADESH,SIHORE,2001,35,59,364
MADHYA PRADESH,TIKAMGARH,2001,53,86,172
MADHYA PRADESH,UJJAIN,2001,84,59,1387
MADHYA PRADESH,UMARIYA,2001,19,25,127
MADHYA PRADESH,VIDISHA,2001,47,112,268
MADHYA PRADESH,TOTAL,2001,2425,2851,20263
MAHARASHTRA,AHMEDNAGAR,2001,97,44,715
MAHARASHTRA,AKOLA,2001,64,15,735
MAHARASHTRA,AMRAVATI COMMR.,2001,44,23,812
MAHARASHTRA,AMRAVATI RURAL,2001,72,42,1031
MAHARASHTRA,AURANGABAD COMMR.,2001,36,14,503
MAHARASHTRA,AURANGABAD RURAL,2001,61,28,273
MAHARASHTRA,BEED,2001,68,22,499
MAHARASHTRA,BHANDARA,2001,32,39,402
MAHARASHTRA,BULDHANA,2001,49,22,749
MAHARASHTRA,CHANDRAPUR,2001,49,43,572
MAHARASHTRA,DHULE,2001,48,16,360
MAHARASHTRA,GADCHIROLI,2001,47,27,124
MAHARASHTRA,GONDIA,2001,41,23,326
MAHARASHTRA,HINGOLI,2001,36,20,241
MAHARASHTRA,JALGAON,2001,83,19,557
MAHARASHTRA,JALNA,2001,43,16,345
MAHARASHTRA,KOLHAPUR,2001,54,26,561
MAHARASHTRA,LATUR,2001,42,7,281
MAHARASHTRA,MUMBAI,2001,295,127,11564
MAHARASHTRA,MUMBAI RLY.,2001,12,2,1756
MAHARASHTRA,NAGPUR COMMR.,2001,112,39,2666
MAHARASHTRA,NAGPUR RLY.,2001,12,2,762
MAHARASHTRA,NAGPUR RURAL,2001,101,81,1074
MAHARASHTRA,NANDED,2001,80,23,539
MAHARASHTRA,NANDURBAR,2001,44,16,132
MAHARASHTRA,NASIK COMMR.,2001,25,9,529
MAHARASHTRA,NASIK RURAL,2001,92,39,447
MAHARASHTRA,NAVI MUMBAI,2001,34,17,893
MAHARASHTRA,OSMANABAD,2001,48,16,349
MAHARASHTRA,PARBHANI,2001,49,25,230
MAHARASHTRA,PUNE COMMR.,2001,71,56,2508
MAHARASHTRA,PUNE RLY.,2001,4,0,302
MAHARASHTRA,PUNE RURAL,2001,119,42,635
MAHARASHTRA,RAIGAD,2001,53,20,296
MAHARASHTRA,RATNAGIRI,2001,17,10,256
MAHARASHTRA,SANGLI,2001,85,32,515
MAHARASHTRA,SATARA,2001,57,32,464
MAHARASHTRA,SINDHUDURG,2001,14,7,106
MAHARASHTRA,SOLAPUR COMMR.,2001,30,16,306
MAHARASHTRA,SOLAPUR RURAL,2001,101,35,365
MAHARASHTRA,THANE COMMR.,2001,133,39,1774
MAHARASHTRA,THANE RURAL,2001,140,65,523
MAHARASHTRA,WARDHA,2001,60,35,592
MAHARASHTRA,WASHIM,2001,29,15,409
MAHARASHTRA,YAVATMAL,2001,56,56,788
MAHARASHTRA,TOTAL,2001,2839,1302,39866
MANIPUR,BISHNUPUR,2001,29,1,11
MANIPUR,CHANDEL,2001,7,0,1
MANIPUR,CHURACHANDPUR,2001,35,1,12
MANIPUR,IMPHAL(EAST),2001,29,7,28
MANIPUR,IMPHAL(WEST),2001,44,7,121
MANIPUR,SENAPATI,2001,27,0,9
MANIPUR,TAMENGLONG,2001,2,0,4
MANIPUR,THOUBAL,2001,32,4,20
MANIPUR,UKHRUL,2001,4,0,11
MANIPUR,TOTAL,2001,209,20,217
MEGHALAYA,GARO HILLS EAST,2001,16,2,16
MEGHALAYA,GARO HILLS SOUTH,2001,6,1,8
MEGHALAYA,GARO HILLS WEST,2001,19,5,30
MEGHALAYA,JAINTIA HILLS,2001,35,7,30
MEGHALAYA,KHASI HILLS EAST,2001,50,5,142
MEGHALAYA,KHASI HILLS WEST,2001,16,4,23
MEGHALAYA,RI-BHOI,2001,22,2,22
MEGHALAYA,TOTAL,2001,164,26,271
MIZORAM,AIZAWL,2001,12,26,562
MIZORAM,CHAMPHAI,2001,2,7,51
MIZORAM,KOLASIB,2001,3,6,83
MIZORAM,LAWNGTLAI,2001,2,2,25
MIZORAM,LUNGLEI,2001,5,3,120
MIZORAM,MAMIT,2001,4,0,12
MIZORAM,SAIHA,2001,2,3,0
MIZORAM,SERCHHIP,2001,1,5,25
MIZORAM,TOTAL,2001,31,52,878
NAGALAND,DIMAPUR,2001,36,4,114
NAGALAND,KIPHIRE,2001,1,0,5
NAGALAND,KOHIMA,2001,25,6,66
NAGALAND,MOKOKCHUNG,2001,12,1,12
NAGALAND,MON,2001,3,2,6
NAGALAND,PEREN,2001,0,0,4
NAGALAND,PHEK,2001,7,1,7
NAGALAND,TUENSANG,2001,1,0,5
NAGALAND,WOKHA,2001,12,1,28
NAGALAND,ZUNHEBOTO,2001,4,2,11
NAGALAND,TOTAL,2001,101,17,258
ODISHA,ANGUL,2001,39,33,175
ODISHA,BALASORE,2001,17,58,164
ODISHA,BARAGARH,2001,23,19,146
ODISHA,BERHAMPUR,2001,23,10,143
ODISHA,BHADRAK,2001,27,35,93
ODISHA,BOLANGIR,2001,32,19,112
ODISHA,BOUDH,2001,9,6,39
ODISHA,CUTTACK,2001,35,34,738
ODISHA,DEOGARH,2001,16,8,22
ODISHA,DHENKANAL,2001,25,15,84
ODISHA,GAJAPATI,2001,19,10,40
ODISHA,GANJAM,2001,58,22,124
ODISHA,JAGATSINGHPUR,2001,26,12,136
ODISHA,JAJPUR,2001,21,24,129
ODISHA,JHARSUGUDA,2001,15,12,81
ODISHA,KALAHANDI,2001,29,30,75
ODISHA,KANDHAMAL,2001,24,34,115
ODISHA,KENDRAPARA,2001,24,11,78
ODISHA,KEONJHAR,2001,62,38,154
ODISHA,KHURDA,2001,46,65,953
ODISHA,KORAPUT,2001,39,38,153
ODISHA,MALKANGIR,2001,36,14,42
ODISHA,MAYURBHANJ,2001,74,77,199
ODISHA,NAYAGARH,2001,26,17,60
ODISHA,NOWRANGPUR,2001,19,13,83
ODISHA,NUAPADA,2001,13,9,44
ODISHA,PURI,2001,25,41,236
ODISHA,RAYAGADA,2001,35,9,64
ODISHA,ROURKELA,2001,20,12,209
ODISHA,SAMBALPUR,2001,39,18,303
ODISHA,SONEPUR,2001,9,8,35
ODISHA,SRP(CUTTACK),2001,3,1,287
ODISHA,SRP(ROURKELA),2001,7,2,135
ODISHA,SUNDARGARH,2001,72,36,171
ODISHA,TOTAL,2001,987,790,5622
PUNJAB,AMRITSAR,2001,36,9,141
PUNJAB,BARNALA,2001,15,12,39
PUNJAB,BATALA,2001,18,8,26
PUNJAB,BHATINDA,2001,25,13,94
PUNJAB,FARIDKOT,2001,12,6,56
PUNJAB,FATEHGARH SAHIB,2001,16,11,62
PUNJAB,FEROZEPUR,2001,50,22,115
PUNJAB,G.R.P,2001,10,0,41
PUNJAB,GURDASPUR,2001,22,12,38
PUNJAB,HOSHIARPUR,2001,47,19,119
PUNJAB,JAGRAON,2001,27,19,90
PUNJAB,JALANDHAR,2001,74,21,290
PUNJAB,KAPURTHALA,2001,20,8,64
PUNJAB,KHANNA,2001,17,6,44
PUNJAB,LUDHIANA,2001,74,38,624
PUNJAB,MAJITHA,2001,26,9,31
PUNJAB,MANSA,2001,25,6,42
PUNJAB,MOGA,2001,23,11,64
PUNJAB,MUKTSAR,2001,19,3,49
PUNJAB,NAWAN SHAHR,2001,17,11,57
PUNJAB,PATIALA,2001,56,23,583
PUNJAB,ROPAR,2001,26,6,129
PUNJAB,SANGRUR,2001,46,15,157
PUNJAB,TARN TARAN,2001,37,10,68
PUNJAB,TOTAL,2001,738,298,3023
RAJASTHAN,AJMER,2001,39,16,748
RAJASTHAN,ALWAR,2001,85,34,964
RAJASTHAN,BANSWARA,2001,40,90,118
RAJASTHAN,BARAN,2001,36,81,365
RAJASTHAN,BARMER,2001,11,13,185
RAJASTHAN,BHARATPUR,2001,75,48,808
RAJASTHAN,BHILWARA,2001,34,42,787
RAJASTHAN,BIKANER,2001,21,35,431
RAJASTHAN,BUNDI,2001,33,36,391
RAJASTHAN,CHITTORGARH,2001,41,67,730
RAJASTHAN,CHURU,2001,26,24,210
RAJASTHAN,DAUSA,2001,28,9,380
RAJASTHAN,DHOLPUR,2001,42,24,240
RAJASTHAN,DUNGARPUR,2001,31,17,74
RAJASTHAN,G.R.P.,2001,3,1,584
RAJASTHAN,GANGANAGAR,2001,51,55,408
RAJASTHAN,HANUMANGARH,2001,56,35,348
RAJASTHAN,JAIPUR,2001,91,61,3207
RAJASTHAN,JAISALMER,2001,9,2,142
RAJASTHAN,JALORE,2001,17,10,156
RAJASTHAN,JHALAWAR,2001,38,65,383
RAJASTHAN,JHUNJHUNU,2001,37,19,392
RAJASTHAN,JODHPUR,2001,30,20,831
RAJASTHAN,KARAULI,2001,35,21,298
RAJASTHAN,KOTA,2001,58,50,1213
RAJASTHAN,NAGAUR,2001,48,22,407
RAJASTHAN,PALI,2001,43,25,294
RAJASTHAN,RAJSAMAND,2001,15,13,191
RAJASTHAN,SAWAI MADHOPUR,2001,23,19,310
RAJASTHAN,SIKAR,2001,46,13,379
RAJASTHAN,SIROHI,2001,31,22,122
RAJASTHAN,TONK,2001,19,17,298
RAJASTHAN,UDAIPUR,2001,67,43,545
RAJASTHAN,TOTAL,2001,1259,1049,16939
SIKKIM,EAST,2001,13,7,50
SIKKIM,NORTH,2001,1,0,3
SIKKIM,SOUTH,2001,4,1,9
SIKKIM,WEST,2001,1,0,12
SIKKIM,TOTAL,2001,19,8,74
TAMIL NADU,ARIYALUR,2001,24,6,124
TAMIL NADU,CHENGAI,2001,78,20,933
TAMIL NADU,CHENNAI,2001,91,28,2167
TAMIL NADU,CHENNAI RLY.,2001,5,0,154
TAMIL NADU,COIMBATORE RURAL,2001,77,18,1008
TAMIL NADU,COIMBATORE URBAN,2001,16,4,952
TAMIL NADU,CUDDALORE,2001,60,16,547
TAMIL NADU,DHARMAPURI,2001,88,17,427
TAMIL NADU,DINDIGUL,2001,72,14,479
TAMIL NADU,ERODE,2001,63,9,662
TAMIL NADU,KANCHIPURAM,2001,45,21,494
TAMIL NADU,KANYAKUMARI,2001,33,6,260
TAMIL NADU,KARUR,2001,28,4,226
