STATE/UT,DISTRICT,YEAR,KIDNAPPING & ABDUCTION
MANIPUR,CHURACHANDPUR,2009,4
MANIPUR,CHURACHANDPUR,2010,4
MANIPUR,CHURACHANDPUR,2011,7
MANIPUR,CHURACHANDPUR,2012,6
RAJASTHAN,CHURU,2001,26
RAJASTHAN,CHURU,2002,31
RAJASTHAN,CHURU,2003,29
RAJASTHAN,CHURU,2004,31
RAJASTHAN,CHURU,2005,28
RAJASTHAN,CHURU,2006,19
RAJASTHAN,CHURU,2007,27
RAJASTHAN,CHURU,2008,43
RAJASTHAN,CHURU,2009,45
RAJASTHAN,CHURU,2010,39
RAJASTHAN,CHURU,2011,33
RAJASTHAN,CHURU,2012,37
HIMACHAL PRADESH,CID,2009,0
HIMACHAL PRADESH,CID,2010,0
HIMACHAL PRADESH,CID,2011,0
HIMACHAL PRADESH,CID,2012,0
MANIPUR,CID,2008,0
MANIPUR,CID,2009,0
MANIPUR,CID,2010,0
MANIPUR,CID,2011,0
MANIPUR,CID,2012,0
GUJARAT,CID CRIME,2010,0
GUJARAT,CID CRIME,2011,0
GUJARAT,CID CRIME,2012,0
TAMIL NADU,COIMBATORE RURAL,2001,38
TAMIL NADU,COIMBATORE RURAL,2002,30
TAMIL NADU,COIMBATORE RURAL,2003,19
TAMIL NADU,COIMBATORE RURAL,2004,25
TAMIL NADU,COIMBATORE RURAL,2005,47
TAMIL NADU,COIMBATORE RURAL,2006,36
TAMIL NADU,COIMBATORE RURAL,2007,84
TAMIL NADU,COIMBATORE RURAL,2008,63
TAMIL NADU,COIMBATORE RURAL,2009,31
TAMIL NADU,COIMBATORE RURAL,2010,62
TAMIL NADU,COIMBATORE RURAL,2011,48
TAMIL NADU,COIMBATORE RURAL,2012,41
TAMIL NADU,COIMBATORE URBAN,2001,14
TAMIL NADU,COIMBATORE URBAN,2002,10
TAMIL NADU,COIMBATORE URBAN,2003,6
TAMIL NADU,COIMBATORE URBAN,2004,8
TAMIL NADU,COIMBATORE URBAN,2005,4
TAMIL NADU,COIMBATORE URBAN,2006,7
TAMIL NADU,COIMBATORE URBAN,2007,14
TAMIL NADU,COIMBATORE URBAN,2008,17
TAMIL NADU,COIMBATORE URBAN,2009,23
TAMIL NADU,COIMBATORE URBAN,2010,22
TAMIL NADU,COIMBATORE URBAN,2011,27
TAMIL NADU,COIMBATORE URBAN,2012,20
WEST BENGAL,COOCHBEHAR,2001,43
WEST BENGAL,COOCHBEHAR,2002,42
WEST BENGAL,COOCHBEHAR,2003,40
WEST BENGAL,COOCHBEHAR,2004,41
WEST BENGAL,COOCHBEHAR,2005,30
WEST BENGAL,COOCHBEHAR,2006,48
WEST BENGAL,COOCHBEHAR,2007,68
WEST BENGAL,COOCHBEHAR,2008,108
WEST BENGAL,COOCHBEHAR,2009,151
WEST BENGAL,COOCHBEHAR,2010,186
WEST BENGAL,COOCHBEHAR,2011,194
WEST BENGAL,COOCHBEHAR,2012,179
PUNJAB,CP AMRITSAR,2010,51
PUNJAB,CP AMRITSAR,2011,43
PUNJAB,CP AMRITSAR,2012,52
PUNJAB,CP JALANDHAR,2010,57
PUNJAB,CP JALANDHAR,2011,45
PUNJAB,CP JALANDHAR,2012,39
PUNJAB,CP LUDHIANA,2010,152
PUNJAB,CP LUDHIANA,2011,94
PUNJAB,CP LUDHIANA,2012,123
DELHI UT,CRIME BRANCH,2008,0
DELHI UT,CRIME BRANCH,2009,0
DELHI UT,CRIME BRANCH,2010,1
DELHI UT,CRIME BRANCH,2011,0
DELHI UT,CRIME BRANCH,2012,3
JAMMU & KASHMIR,CRIME JAMMU,2001,0
JAMMU & KASHMIR,CRIME JAMMU,2002,0
JAMMU & KASHMIR,CRIME JAMMU,2003,0
JAMMU & KASHMIR,CRIME JAMMU,2004,0
JAMMU & KASHMIR,CRIME JAMMU,2005,0
JAMMU & KASHMIR,CRIME JAMMU,2006,0
JAMMU & KASHMIR,CRIME JAMMU,2007,0
JAMMU & KASHMIR,CRIME JAMMU,2008,0
JAMMU & KASHMIR,CRIME JAMMU,2009,0
JAMMU & KASHMIR,CRIME JAMMU,2010,0
JAMMU & KASHMIR,CRIME JAMMU,2011,0
JAMMU & KASHMIR,CRIME JAMMU,2012,0
JAMMU & KASHMIR,CRIME KASHMIR,2010,0
JAMMU & KASHMIR,CRIME SRINAGAR,2001,0
JAMMU & KASHMIR,CRIME SRINAGAR,2002,0
JAMMU & KASHMIR,CRIME SRINAGAR,2003,0
JAMMU & KASHMIR,CRIME SRINAGAR,2004,0
JAMMU & KASHMIR,CRIME SRINAGAR,2005,0
JAMMU & KASHMIR,CRIME SRINAGAR,2006,0
JAMMU & KASHMIR,CRIME SRINAGAR,2007,0
JAMMU & KASHMIR,CRIME SRINAGAR,2008,0
JAMMU & KASHMIR,CRIME SRINAGAR,2009,0
JAMMU & KASHMIR,CRIME SRINAGAR,2011,0
JAMMU & KASHMIR,CRIME SRINAGAR,2012,0
UTTAR PRADESH,CSM NAGAR,2010,79
UTTAR PRADESH,CSM NAGAR,2011,99
UTTAR PRADESH,CSM NAGAR,2012,105
TAMIL NADU,CUDDALORE,2001,21
TAMIL NADU,CUDDALORE,2002,42
TAMIL NADU,CUDDALORE,2003,21
TAMIL NADU,CUDDALORE,2004,41
TAMIL NADU,CUDDALORE,2005,32
TAMIL NADU,CUDDALORE,2006,33
TAMIL NADU,CUDDALORE,2007,57
TAMIL NADU,CUDDALORE,2008,56
TAMIL NADU,CUDDALORE,2009,34
TAMIL NADU,CUDDALORE,2010,39
TAMIL NADU,CUDDALORE,2011,102
TAMIL NADU,CUDDALORE,2012,152
ANDHRA PRADESH,CUDDAPAH,2001,25
ANDHRA PRADESH,CUDDAPAH,2002,27
ANDHRA PRADESH,CUDDAPAH,2003,37
ANDHRA PRADESH,CUDDAPAH,2004,39
ANDHRA PRADESH,CUDDAPAH,2005,36
ANDHRA PRADESH,CUDDAPAH,2006,68
ANDHRA PRADESH,CUDDAPAH,2007,76
ANDHRA PRADESH,CUDDAPAH,2008,76
ANDHRA PRADESH,CUDDAPAH,2009,57
ANDHRA PRADESH,CUDDAPAH,2010,63
ANDHRA PRADESH,CUDDAPAH,2011,73
ANDHRA PRADESH,CUDDAPAH,2012,76
ODISHA,CUTTACK,2001,43
ODISHA,CUTTACK,2002,38
ODISHA,CUTTACK,2003,32
ODISHA,CUTTACK,2004,51
ODISHA,CUTTACK,2005,71
ODISHA,CUTTACK,2006,56
ODISHA,CUTTACK,2007,68
ODISHA,CUTTACK,2008,35
ODISHA,CUTTACK,2009,48
ODISHA,CUTTACK,2010,26
ODISHA,CUTTACK,2011,46
ODISHA,CUTTACK,2012,63
ANDHRA PRADESH,CYBERABAD,2003,102
ANDHRA PRADESH,CYBERABAD,2004,69
ANDHRA PRADESH,CYBERABAD,2005,151
ANDHRA PRADESH,CYBERABAD,2006,166
ANDHRA PRADESH,CYBERABAD,2007,147
ANDHRA PRADESH,CYBERABAD,2008,141
ANDHRA PRADESH,CYBERABAD,2009,168
ANDHRA PRADESH,CYBERABAD,2010,150
ANDHRA PRADESH,CYBERABAD,2011,146
ANDHRA PRADESH,CYBERABAD,2012,158
D & N HAVELI,D and N HAVELI,2001,4
D & N HAVELI,D and N HAVELI,2002,9
D & N HAVELI,D and N HAVELI,2003,7
D & N HAVELI,D and N HAVELI,2004,12
D & N HAVELI,D and N HAVELI,2005,13
D & N HAVELI,D and N HAVELI,2006,18
D & N HAVELI,D and N HAVELI,2007,9
D & N HAVELI,D and N HAVELI,2008,17
D & N HAVELI,D and N HAVELI,2009,12
D & N HAVELI,D and N HAVELI,2010,18
D & N HAVELI,D and N HAVELI,2011,9
D & N HAVELI,D and N HAVELI,2012,13
GUJARAT,DAHOD,2001,15
GUJARAT,DAHOD,2002,9
GUJARAT,DAHOD,2003,19
GUJARAT,DAHOD,2004,28
GUJARAT,DAHOD,2005,29
GUJARAT,DAHOD,2006,21
GUJARAT,DAHOD,2007,35
GUJARAT,DAHOD,2008,43
GUJARAT,DAHOD,2009,40
GUJARAT,DAHOD,2010,54
GUJARAT,DAHOD,2011,53
GUJARAT,DAHOD,2012,72
WEST BENGAL,DAKSHIN DINAJPUR,2001,31
WEST BENGAL,DAKSHIN DINAJPUR,2002,26
WEST BENGAL,DAKSHIN DINAJPUR,2003,32
WEST BENGAL,DAKSHIN DINAJPUR,2004,27
WEST BENGAL,DAKSHIN DINAJPUR,2005,33
WEST BENGAL,DAKSHIN DINAJPUR,2006,49
WEST BENGAL,DAKSHIN DINAJPUR,2007,47
WEST BENGAL,DAKSHIN DINAJPUR,2008,50
WEST BENGAL,DAKSHIN DINAJPUR,2009,56
WEST BENGAL,DAKSHIN DINAJPUR,2010,96
WEST BENGAL,DAKSHIN DINAJPUR,2011,121
WEST BENGAL,DAKSHIN DINAJPUR,2012,142
KARNATAKA,DAKSHIN KANNADA,2001,9
KARNATAKA,DAKSHIN KANNADA,2002,6
KARNATAKA,DAKSHIN KANNADA,2003,10
KARNATAKA,DAKSHIN KANNADA,2004,13
KARNATAKA,DAKSHIN KANNADA,2005,14
KARNATAKA,DAKSHIN KANNADA,2006,12
KARNATAKA,DAKSHIN KANNADA,2007,11
KARNATAKA,DAKSHIN KANNADA,2008,10
KARNATAKA,DAKSHIN KANNADA,2009,15
KARNATAKA,DAKSHIN KANNADA,2010,16
KARNATAKA,DAKSHIN KANNADA,2011,6
KARNATAKA,DAKSHIN KANNADA,2012,10
DAMAN & DIU,DAMAN,2001,5
DAMAN & DIU,DAMAN,2002,2
DAMAN & DIU,DAMAN,2003,1
DAMAN & DIU,DAMAN,2004,2
DAMAN & DIU,DAMAN,2005,4
DAMAN & DIU,DAMAN,2006,3
DAMAN & DIU,DAMAN,2007,0
DAMAN & DIU,DAMAN,2008,2
DAMAN & DIU,DAMAN,2009,0
DAMAN & DIU,DAMAN,2010,2
DAMAN & DIU,DAMAN,2011,2
DAMAN & DIU,DAMAN,2012,2
MADHYA PRADESH,DAMOH,2001,18
MADHYA PRADESH,DAMOH,2002,14
MADHYA PRADESH,DAMOH,2003,18
MADHYA PRADESH,DAMOH,2004,9
MADHYA PRADESH,DAMOH,2005,12
MADHYA PRADESH,DAMOH,2006,4
MADHYA PRADESH,DAMOH,2007,14
MADHYA PRADESH,DAMOH,2008,13
MADHYA PRADESH,DAMOH,2009,18
MADHYA PRADESH,DAMOH,2010,22
MADHYA PRADESH,DAMOH,2011,21
MADHYA PRADESH,DAMOH,2012,32
CHHATTISGARH,DANTEWARA,2001,11
CHHATTISGARH,DANTEWARA,2002,4
CHHATTISGARH,DANTEWARA,2003,6
CHHATTISGARH,DANTEWARA,2004,8
CHHATTISGARH,DANTEWARA,2005,6
CHHATTISGARH,DANTEWARA,2006,16
CHHATTISGARH,DANTEWARA,2007,6
CHHATTISGARH,DANTEWARA,2008,8
CHHATTISGARH,DANTEWARA,2009,10
CHHATTISGARH,DANTEWARA,2010,8
CHHATTISGARH,DANTEWARA,2011,9
CHHATTISGARH,DANTEWARA,2012,1
BIHAR,DARBHANGA,2001,39
BIHAR,DARBHANGA,2002,93
BIHAR,DARBHANGA,2003,61
BIHAR,DARBHANGA,2004,60
BIHAR,DARBHANGA,2005,54
BIHAR,DARBHANGA,2006,68
BIHAR,DARBHANGA,2007,91
BIHAR,DARBHANGA,2008,123
BIHAR,DARBHANGA,2009,83
BIHAR,DARBHANGA,2010,97
BIHAR,DARBHANGA,2011,128
BIHAR,DARBHANGA,2012,207
WEST BENGAL,DARJEELING,2001,21
WEST BENGAL,DARJEELING,2002,23
WEST BENGAL,DARJEELING,2003,26
WEST BENGAL,DARJEELING,2004,17
WEST BENGAL,DARJEELING,2005,17
WEST BENGAL,DARJEELING,2006,43
WEST BENGAL,DARJEELING,2007,36
WEST BENGAL,DARJEELING,2008,46
WEST BENGAL,DARJEELING,2009,50
WEST BENGAL,DARJEELING,2010,77
WEST BENGAL,DARJEELING,2011,88
WEST BENGAL,DARJEELING,2012,47
ASSAM,DARRANG,2001,64
ASSAM,DARRANG,2002,54
ASSAM,DARRANG,2003,83
ASSAM,DARRANG,2004,59
ASSAM,DARRANG,2005,33
ASSAM,DARRANG,2006,53
ASSAM,DARRANG,2007,45
ASSAM,DARRANG,2008,59
ASSAM,DARRANG,2009,99
ASSAM,DARRANG,2010,139
ASSAM,DARRANG,2011,200
ASSAM,DARRANG,2012,191
MADHYA PRADESH,DATIYA,2001,25
MADHYA PRADESH,DATIYA,2002,12
MADHYA PRADESH,DATIYA,2003,13
MADHYA PRADESH,DATIYA,2004,18
MADHYA PRADESH,DATIYA,2005,20
MADHYA PRADESH,DATIYA,2006,18
MADHYA PRADESH,DATIYA,2007,21
MADHYA PRADESH,DATIYA,2008,17
MADHYA PRADESH,DATIYA,2009,24
MADHYA PRADESH,DATIYA,2010,11
MADHYA PRADESH,DATIYA,2011,19
MADHYA PRADESH,DATIYA,2012,28
RAJASTHAN,DAUSA,2001,40
RAJASTHAN,DAUSA,2002,47
RAJASTHAN,DAUSA,2003,40
RAJASTHAN,DAUSA,2004,50
RAJASTHAN,DAUSA,2005,30
RAJASTHAN,DAUSA,2006,35
RAJASTHAN,DAUSA,2007,67
RAJASTHAN,DAUSA,2008,61
RAJASTHAN,DAUSA,2009,92
RAJASTHAN,DAUSA,2010,97
RAJASTHAN,DAUSA,2011,98
RAJASTHAN,DAUSA,2012,101
KARNATAKA,DAVANAGERE,2001,23
KARNATAKA,DAVANAGERE,2002,18
KARNATAKA,DAVANAGERE,2003,14
KARNATAKA,DAVANAGERE,2004,10
KARNATAKA,DAVANAGERE,2005,14
KARNATAKA,DAVANAGERE,2006,14
KARNATAKA,DAVANAGERE,2007,16
KARNATAKA,DAVANAGERE,2008,35
KARNATAKA,DAVANAGERE,2009,17
KARNATAKA,DAVANAGERE,2010,20
KARNATAKA,DAVANAGERE,2011,17
KARNATAKA,DAVANAGERE,2012,23
ODISHA,DCP BBSR,2008,45
ODISHA,DCP BBSR,2009,27
ODISHA,DCP BBSR,2010,41
ODISHA,DCP BBSR,2011,40
ODISHA,DCP BBSR,2012,91
ODISHA,DCP CTC,2008,21
ODISHA,DCP CTC,2009,22
ODISHA,DCP CTC,2010,31
ODISHA,DCP CTC,2011,31
ODISHA,DCP CTC,2012,44
UTTARAKHAND,DEHRADUN,2001,54
UTTARAKHAND,DEHRADUN,2002,62
UTTARAKHAND,DEHRADUN,2003,30
UTTARAKHAND,DEHRADUN,2004,37
UTTARAKHAND,DEHRADUN,2005,45
UTTARAKHAND,DEHRADUN,2006,43
UTTARAKHAND,DEHRADUN,2007,60
UTTARAKHAND,DEHRADUN,2008,65
UTTARAKHAND,DEHRADUN,2009,76
UTTARAKHAND,DEHRADUN,2010,71
UTTARAKHAND,DEHRADUN,2011,55
UTTARAKHAND,DEHRADUN,2012,43
DELHI UT,DELHI UT TOTAL,2001,1627
DELHI UT,DELHI UT TOTAL,2002,1323
DELHI UT,DELHI UT TOTAL,2003,1156
DELHI UT,DELHI UT TOTAL,2004,1209
DELHI UT,DELHI UT TOTAL,2005,1590
DELHI UT,DELHI UT TOTAL,2006,1442
DELHI UT,DELHI UT TOTAL,2007,1688
DELHI UT,DELHI UT TOTAL,2008,1567
DELHI UT,DELHI UT TOTAL,2009,2536
DELHI UT,DELHI UT TOTAL,2010,3208
DELHI UT,DELHI UT TOTAL,2011,3767
DELHI UT,DELHI UT TOTAL,2012,3970
ODISHA,DEOGARH,2001,4
ODISHA,DEOGARH,2002,5
ODISHA,DEOGARH,2003,11
ODISHA,DEOGARH,2004,3
ODISHA,DEOGARH,2005,8
ODISHA,DEOGARH,2006,7
ODISHA,DEOGARH,2007,8
ODISHA,DEOGARH,2008,8
ODISHA,DEOGARH,2009,8
ODISHA,DEOGARH,2010,4
ODISHA,DEOGARH,2011,9
ODISHA,DEOGARH,2012,7
JHARKHAND,DEOGHAR,2001,7
JHARKHAND,DEOGHAR,2002,5
JHARKHAND,DEOGHAR,2003,8
JHARKHAND,DEOGHAR,2004,5
JHARKHAND,DEOGHAR,2005,10
JHARKHAND,DEOGHAR,2006,8
JHARKHAND,DEOGHAR,2007,26
JHARKHAND,DEOGHAR,2008,11
JHARKHAND,DEOGHAR,2009,29
JHARKHAND,DEOGHAR,2010,28
JHARKHAND,DEOGHAR,2011,24
JHARKHAND,DEOGHAR,2012,48
UTTAR PRADESH,DEORIA,2001,39
UTTAR PRADESH,DEORIA,2002,20
UTTAR PRADESH,DEORIA,2003,14
UTTAR PRADESH,DEORIA,2004,29
UTTAR PRADESH,DEORIA,2005,19
UTTAR PRADESH,DEORIA,2006,19
UTTAR PRADESH,DEORIA,2007,21
UTTAR PRADESH,DEORIA,2008,20
UTTAR PRADESH,DEORIA,2009,44
UTTAR PRADESH,DEORIA,2010,23
UTTAR PRADESH,DEORIA,2011,58
UTTAR PRADESH,DEORIA,2012,67
MADHYA PRADESH,DEWAS,2001,20
MADHYA PRADESH,DEWAS,2002,33
MADHYA PRADESH,DEWAS,2003,34
MADHYA PRADESH,DEWAS,2004,30
MADHYA PRADESH,DEWAS,2005,32
MADHYA PRADESH,DEWAS,2006,21
MADHYA PRADESH,DEWAS,2007,27
MADHYA PRADESH,DEWAS,2008,18
MADHYA PRADESH,DEWAS,2009,11
MADHYA PRADESH,DEWAS,2010,28
MADHYA PRADESH,DEWAS,2011,26
MADHYA PRADESH,DEWAS,2012,31
TRIPURA,DHALAI,2001,15
TRIPURA,DHALAI,2002,33
TRIPURA,DHALAI,2003,36
TRIPURA,DHALAI,2004,16
TRIPURA,DHALAI,2005,21
TRIPURA,DHALAI,2006,14
TRIPURA,DHALAI,2007,27
TRIPURA,DHALAI,2008,18
TRIPURA,DHALAI,2009,9
TRIPURA,DHALAI,2010,14
TRIPURA,DHALAI,2011,16
TRIPURA,DHALAI,2012,11
CHHATTISGARH,DHAMTARI,2001,4
CHHATTISGARH,DHAMTARI,2002,4
CHHATTISGARH,DHAMTARI,2003,8
CHHATTISGARH,DHAMTARI,2004,5
CHHATTISGARH,DHAMTARI,2005,9
CHHATTISGARH,DHAMTARI,2006,4
CHHATTISGARH,DHAMTARI,2007,8
CHHATTISGARH,DHAMTARI,2008,4
CHHATTISGARH,DHAMTARI,2009,7
CHHATTISGARH,DHAMTARI,2010,10
CHHATTISGARH,DHAMTARI,2011,18
CHHATTISGARH,DHAMTARI,2012,2
JHARKHAND,DHANBAD,2001,57
JHARKHAND,DHANBAD,2002,72
JHARKHAND,DHANBAD,2003,55
JHARKHAND,DHANBAD,2004,72
JHARKHAND,DHANBAD,2005,68
JHARKHAND,DHANBAD,2006,65
JHARKHAND,DHANBAD,2007,87
JHARKHAND,DHANBAD,2008,88
JHARKHAND,DHANBAD,2009,81
JHARKHAND,DHANBAD,2010,95
JHARKHAND,DHANBAD,2011,99
JHARKHAND,DHANBAD,2012,121
JHARKHAND,DHANBAD RLY.,2001,4
JHARKHAND,DHANBAD RLY.,2002,2
JHARKHAND,DHANBAD RLY.,2003,4
JHARKHAND,DHANBAD RLY.,2004,2
JHARKHAND,DHANBAD RLY.,2005,2
JHARKHAND,DHANBAD RLY.,2006,0
JHARKHAND,DHANBAD RLY.,2007,0
JHARKHAND,DHANBAD RLY.,2008,1
JHARKHAND,DHANBAD RLY.,2009,3
JHARKHAND,DHANBAD RLY.,2010,4
JHARKHAND,DHANBAD RLY.,2011,3
JHARKHAND,DHANBAD RLY.,2012,3
MADHYA PRADESH,DHAR,2001,22
MADHYA PRADESH,DHAR,2002,30
MADHYA PRADESH,DHAR,2003,27
MADHYA PRADESH,DHAR,2004,30
MADHYA PRADESH,DHAR,2005,40
MADHYA PRADESH,DHAR,2006,35
MADHYA PRADESH,DHAR,2007,22
MADHYA PRADESH,DHAR,2008,29
MADHYA PRADESH,DHAR,2009,34
MADHYA PRADESH,DHAR,2010,42
MADHYA PRADESH,DHAR,2011,43
MADHYA PRADESH,DHAR,2012,49
TAMIL NADU,DHARMAPURI,2001,35
TAMIL NADU,DHARMAPURI,2002,48
TAMIL NADU,DHARMAPURI,2003,41
TAMIL NADU,DHARMAPURI,2004,23
TAMIL NADU,DHARMAPURI,2005,31
TAMIL NADU,DHARMAPURI,2006,16
TAMIL NADU,DHARMAPURI,2007,44
TAMIL NADU,DHARMAPURI,2008,49
TAMIL NADU,DHARMAPURI,2009,36
TAMIL NADU,DHARMAPURI,2010,47
TAMIL NADU,DHARMAPURI,2011,70
TAMIL NADU,DHARMAPURI,2012,98
KARNATAKA,DHARWAD COMMR.,2001,8
KARNATAKA,DHARWAD COMMR.,2002,16
KARNATAKA,DHARWAD COMMR.,2003,11
KARNATAKA,DHARWAD COMMR.,2004,10
KARNATAKA,DHARWAD COMMR.,2005,7
KARNATAKA,DHARWAD COMMR.,2006,15
KARNATAKA,DHARWAD COMMR.,2007,16
KARNATAKA,DHARWAD COMMR.,2008,15
KARNATAKA,DHARWAD COMMR.,2009,14
KARNATAKA,DHARWAD COMMR.,2010,20
KARNATAKA,DHARWAD COMMR.,2011,23
KARNATAKA,DHARWAD COMMR.,2012,54
KARNATAKA,DHARWAD RURAL,2001,3
KARNATAKA,DHARWAD RURAL,2002,7
KARNATAKA,DHARWAD RURAL,2003,0
KARNATAKA,DHARWAD RURAL,2004,3
KARNATAKA,DHARWAD RURAL,2005,8
KARNATAKA,DHARWAD RURAL,2006,8
KARNATAKA,DHARWAD RURAL,2007,6
KARNATAKA,DHARWAD RURAL,2008,6
KARNATAKA,DHARWAD RURAL,2009,12
KARNATAKA,DHARWAD RURAL,2010,14
KARNATAKA,DHARWAD RURAL,2011,7
KARNATAKA,DHARWAD RURAL,2012,13
ASSAM,DHEMAJI,2001,31
ASSAM,DHEMAJI,2002,31
ASSAM,DHEMAJI,2003,25
ASSAM,DHEMAJI,2004,53
ASSAM,DHEMAJI,2005,45
ASSAM,DHEMAJI,2006,45
ASSAM,DHEMAJI,2007,42
ASSAM,DHEMAJI,2008,66
ASSAM,DHEMAJI,2009,71
ASSAM,DHEMAJI,2010,78
ASSAM,DHEMAJI,2011,63
ASSAM,DHEMAJI,2012,87
ODISHA,DHENKANAL,2001,14
ODISHA,DHENKANAL,2002,21
ODISHA,DHENKANAL,2003,9
ODISHA,DHENKANAL,2004,20
ODISHA,DHENKANAL,2005,12
ODISHA,DHENKANAL,2006,13
ODISHA,DHENKANAL,2007,26
ODISHA,DHENKANAL,2008,24
ODISHA,DHENKANAL,2009,24
ODISHA,DHENKANAL,2010,36
ODISHA,DHENKANAL,2011,32
ODISHA,DHENKANAL,2012,41
RAJASTHAN,DHOLPUR,2001,43
RAJASTHAN,DHOLPUR,2002,58
RAJASTHAN,DHOLPUR,2003,32
RAJASTHAN,DHOLPUR,2004,44
RAJASTHAN,DHOLPUR,2005,53
RAJASTHAN,DHOLPUR,2006,41
RAJASTHAN,DHOLPUR,2007,57
RAJASTHAN,DHOLPUR,2008,64
RAJASTHAN,DHOLPUR,2009,67
RAJASTHAN,DHOLPUR,2010,77
RAJASTHAN,DHOLPUR,2011,76
RAJASTHAN,DHOLPUR,2012,79
ASSAM,DHUBRI,2001,69
ASSAM,DHUBRI,2002,62
ASSAM,DHUBRI,2003,62
ASSAM,DHUBRI,2004,75
ASSAM,DHUBRI,2005,84
ASSAM,DHUBRI,2006,118
ASSAM,DHUBRI,2007,138
ASSAM,DHUBRI,2008,139
ASSAM,DHUBRI,2009,185
ASSAM,DHUBRI,2010,241
ASSAM,DHUBRI,2011,307
ASSAM,DHUBRI,2012,315
MAHARASHTRA,DHULE,2001,6
MAHARASHTRA,DHULE,2002,8
MAHARASHTRA,DHULE,2003,5
MAHARASHTRA,DHULE,2004,3
MAHARASHTRA,DHULE,2005,9
MAHARASHTRA,DHULE,2006,8
MAHARASHTRA,DHULE,2007,5
MAHARASHTRA,DHULE,2008,8
MAHARASHTRA,DHULE,2009,13
MAHARASHTRA,DHULE,2010,12
MAHARASHTRA,DHULE,2011,27
MAHARASHTRA,DHULE,2012,18
ARUNACHAL PRADESH,DIBANG VALLEY,2001,4
ARUNACHAL PRADESH,DIBANG VALLEY,2002,6
ARUNACHAL PRADESH,DIBANG VALLEY,2003,1
ARUNACHAL PRADESH,DIBANG VALLEY,2004,3
ARUNACHAL PRADESH,DIBANG VALLEY,2005,5
ARUNACHAL PRADESH,DIBANG VALLEY,2006,2
ARUNACHAL PRADESH,DIBANG VALLEY,2007,4
ARUNACHAL PRADESH,DIBANG VALLEY,2008,6
ARUNACHAL PRADESH,DIBANG VALLEY,2009,6
ARUNACHAL PRADESH,DIBANG VALLEY,2010,3
ARUNACHAL PRADESH,DIBANG VALLEY,2011,3
ARUNACHAL PRADESH,DIBANG VALLEY,2012,5
ASSAM,DIBRUGARH,2001,57
ASSAM,DIBRUGARH,2002,75
ASSAM,DIBRUGARH,2003,54
ASSAM,DIBRUGARH,2004,88
ASSAM,DIBRUGARH,2005,75
ASSAM,DIBRUGARH,2006,65
ASSAM,DIBRUGARH,2007,93
ASSAM,DIBRUGARH,2008,89
ASSAM,DIBRUGARH,2009,110
ASSAM,DIBRUGARH,2010,136
ASSAM,DIBRUGARH,2011,135
ASSAM,DIBRUGARH,2012,134
NAGALAND,DIMAPUR,2001,13
NAGALAND,DIMAPUR,2002,19
NAGALAND,DIMAPUR,2003,12
NAGALAND,DIMAPUR,2004,9
NAGALAND,DIMAPUR,2005,5
NAGALAND,DIMAPUR,2006,15
NAGALAND,DIMAPUR,2007,7
NAGALAND,DIMAPUR,2008,31
NAGALAND,DIMAPUR,2009,33
NAGALAND,DIMAPUR,2010,41
NAGALAND,DIMAPUR,2011,24
NAGALAND,DIMAPUR,2012,16
TAMIL NADU,DINDIGUL,2001,49
TAMIL NADU,DINDIGUL,2002,26
TAMIL NADU,DINDIGUL,2003,23
TAMIL NADU,DINDIGUL,2004,26
TAMIL NADU,DINDIGUL,2005,36
TAMIL NADU,DINDIGUL,2006,40
TAMIL NADU,DINDIGUL,2007,50
TAMIL NADU,DINDIGUL,2008,53
TAMIL NADU,DINDIGUL,2009,61
TAMIL NADU,DINDIGUL,2010,43
TAMIL NADU,DINDIGUL,2011,50
TAMIL NADU,DINDIGUL,2012,97
MADHYA PRADESH,DINDORI,2001,2
MADHYA PRADESH,DINDORI,2002,2
MADHYA PRADESH,DINDORI,2003,2
MADHYA PRADESH,DINDORI,2004,3
MADHYA PRADESH,DINDORI,2005,1
MADHYA PRADESH,DINDORI,2006,0
MADHYA PRADESH,DINDORI,2007,0
MADHYA PRADESH,DINDORI,2008,1
MADHYA PRADESH,DINDORI,2009,2
MADHYA PRADESH,DINDORI,2010,2
MADHYA PRADESH,DINDORI,2011,6
MADHYA PRADESH,DINDORI,2012,6
DAMAN & DIU,DIU,2001,0
DAMAN & DIU,DIU,2002,1
DAMAN & DIU,DIU,2003,0
DAMAN & DIU,DIU,2004,0
DAMAN & DIU,DIU,2005,0
DAMAN & DIU,DIU,2006,0
DAMAN & DIU,DIU,2007,1
DAMAN & DIU,DIU,2008,2
DAMAN & DIU,DIU,2009,0
DAMAN & DIU,DIU,2010,0
DAMAN & DIU,DIU,2011,1
DAMAN & DIU,DIU,2012,1
JAMMU & KASHMIR,DODA,2001,15
JAMMU & KASHMIR,DODA,2002,19
JAMMU & KASHMIR,DODA,2003,19
JAMMU & KASHMIR,DODA,2004,20
JAMMU & KASHMIR,DODA,2005,14
JAMMU & KASHMIR,DODA,2006,36
JAMMU & KASHMIR,DODA,2007,30
JAMMU & KASHMIR,DODA,2008,24
JAMMU & KASHMIR,DODA,2009,39
JAMMU & KASHMIR,DODA,2010,59
JAMMU & KASHMIR,DODA,2011,47
JAMMU & KASHMIR,DODA,2012,33
JHARKHAND,DUMKA,2001,24
JHARKHAND,DUMKA,2002,15
JHARKHAND,DUMKA,2003,19
